,index,CF,file,channel,genotype
647,324,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,5,KO
648,333,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,6,KO
649,342,12000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,7,KO
650,378,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,11,KO
651,387,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,12,KO
652,396,20000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,13,KO
653,405,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,14,KO
654,414,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,15,KO
655,423,16000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180410D/Block-4,16,KO
656,432,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,1,WT
657,441,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,2,WT
658,450,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,3,WT
659,459,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,4,WT
660,468,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,5,WT
661,477,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,6,WT
662,486,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,7,WT
663,513,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,10,WT
664,522,4000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,11,WT
665,531,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,12,WT
666,540,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,13,WT
667,549,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,14,WT
668,558,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,15,WT
669,567,8000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,16,WT
670,576,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,1,WT
671,585,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,2,WT
672,594,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,3,WT
673,603,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,4,WT
674,612,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,5,WT
675,621,1500,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,6,WT
676,666,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,11,WT
677,675,3000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,12,WT
678,684,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,13,WT
679,693,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,14,WT
680,702,6000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,15,WT
681,711,2000,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,16,WT
682,0,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,1,WT
683,9,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,2,WT
684,18,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,3,WT
685,27,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,4,WT
686,36,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,5,WT
687,45,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,6,WT
688,54,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,7,WT
689,63,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,8,WT
690,72,12000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,9,WT
691,81,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,10,WT
692,90,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,11,WT
693,99,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,12,WT
694,108,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,13,WT
695,117,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,14,WT
696,126,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,15,WT
697,135,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,16,WT
698,153,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,2,WT
699,162,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,3,WT
700,180,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,5,WT
701,189,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,6,WT
702,198,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,7,WT
703,207,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,8,WT
704,234,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,11,WT
705,243,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,12,WT
706,252,20000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,13,WT
707,261,8000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,14,WT
708,270,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,15,WT
709,279,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,16,WT
710,288,1500,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,1,KO
711,297,2000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,2,KO
712,306,3000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,3,KO
713,315,3000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,4,KO
714,324,2000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,5,KO
715,342,3000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,7,KO
716,351,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,8,KO
717,360,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,9,KO
718,369,3000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,10,KO
719,387,6000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,12,KO
720,396,3000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,13,KO
721,405,2000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,14,KO
722,414,2000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,15,KO
723,423,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509D/Block-3,16,KO
724,432,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,1,KO
725,441,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,2,KO
726,450,4000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,3,KO
727,459,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,4,KO
728,468,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,5,KO
729,486,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,7,KO
730,495,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,8,KO
731,504,20000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,9,KO
732,513,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,10,KO
733,531,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,12,KO
734,540,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,13,KO
735,549,24000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,14,KO
736,558,16000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,15,KO
737,567,40000,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/KO/BA180509F/Block-3,16,KO
